time_step,veh_id,x_pos,y_pos,speed,yaw
0.000000000000000000e+00,0.000000000000000000e+00,4.842000000000000171e+01,4.580000000000001847e+00,2.556001760562773839e+01,1.173708381223986493e-03
0.000000000000000000e+00,1.000000000000000000e+00,4.903000000000000114e+01,8.609999999999999432e+00,2.157075103004065397e+01,8.344729805733525421e-03
0.000000000000000000e+00,2.000000000000000000e+00,2.901000000000000156e+01,4.679999999999999716e+00,2.517007151360520467e+01,2.383785711214564916e-03
0.000000000000000000e+00,3.000000000000000000e+00,1.301999999999999957e+01,8.150000000000002132e+00,2.151014876750042504e+01,-3.719183223509554218e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,5.120000000000000995e+00,2.406025145338260884e+01,-4.571871720359976451e-03
1.000000000000000000e+00,1.000000000000000000e+00,4.989952277429465255e+01,8.588138453249200666e+00,2.174493881118384309e+01,-2.513671034987839670e-02
1.000000000000000000e+00,2.000000000000000000e+00,3.000590670908482593e+01,4.701139263195832640e+00,2.490327590961464921e+01,2.122296104694311458e-02
1.000000000000000000e+00,3.000000000000000000e+00,1.388302064674273595e+01,8.111382480834835818e+00,2.159710555680324973e+01,-4.471709428577180789e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.967997417378144043e+00,5.154372372610269259e+00,2.421518712566578202e+01,3.549383142735798580e-02
2.000000000000000000e+00,1.000000000000000000e+00,5.077485874415416589e+01,8.535210680786738280e+00,2.192336666133490652e+01,-6.039213786752742341e-02
2.000000000000000000e+00,2.000000000000000000e+00,3.099019243049591310e+01,4.742726840106503694e+00,2.462909747543343641e+01,4.222641374753016014e-02
2.000000000000000000e+00,3.000000000000000000e+00,1.474693632069697635e+01,8.037188544192378714e+00,2.167739363856842516e+01,-8.567078355813328994e-02
2.000000000000000000e+00,4.000000000000000000e+00,6.939762004427761255e+00,5.228040288916031564e+00,2.436382275188648450e+01,7.566367499278997544e-02
3.000000000000000000e+00,1.000000000000000000e+00,5.165494035074500090e+01,8.449875143720813497e+00,2.210522828633872194e+01,-9.666103383471962018e-02
3.000000000000000000e+00,2.000000000000000000e+00,3.196222029913502638e+01,4.804692689834913821e+00,2.435002494792946948e+01,6.366289893807761113e-02
3.000000000000000000e+00,3.000000000000000000e+00,1.561010984984157091e+01,7.927340889001505353e+00,2.175337687531044395e+01,-1.265798216058682257e-01
3.000000000000000000e+00,4.000000000000000000e+00,7.913382898868046134e+00,5.341300244609670678e+00,2.450466108282291700e+01,1.158080870342873825e-01
4.000000000000000000e+00,1.000000000000000000e+00,5.253858780138299522e+01,8.331272392700485696e+00,2.228928315312949238e+01,-1.334221543760505946e-01
4.000000000000000000e+00,2.000000000000000000e+00,3.292135886106710529e+01,4.887503662340445310e+00,2.406767071914681466e+01,8.612532366221037350e-02
4.000000000000000000e+00,3.000000000000000000e+00,1.647146669660152440e+01,7.781690022390196582e+00,2.183961126606991243e+01,-1.675101416396642673e-01
4.000000000000000000e+00,4.000000000000000000e+00,8.887355003567922296e+00,5.494351477596581823e+00,2.464810262287342368e+01,1.558666720517542792e-01
5.000000000000000000e+00,1.000000000000000000e+00,5.342455927118952275e+01,8.178586853006054369e+00,2.247579697339621774e+01,-1.706604967399669714e-01
5.000000000000000000e+00,2.000000000000000000e+00,3.386701853407257801e+01,4.990973040448364983e+00,2.378258461241730615e+01,1.089815100693168060e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.732976567831302361e+01,7.600115035225125659e+00,2.193237643831303174e+01,-2.084783118504530686e-01
5.000000000000000000e+00,4.000000000000000000e+00,9.860210639614754413e+00,5.687381969696352790e+00,2.479552453907215437e+01,1.958723841669668397e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.431152082024001260e+01,7.991089018991271331e+00,2.266407161200133658e+01,-2.083263838175224980e-01
6.000000000000000000e+00,2.000000000000000000e+00,3.479870483044506102e+01,5.114477884319094336e+00,2.349591455588349120e+01,1.317921664086369737e-01
6.000000000000000000e+00,3.000000000000000000e+00,1.818357784025833723e+01,7.382578490513579617e+00,2.202721833565762211e+01,-2.494749121381162893e-01
6.000000000000000000e+00,4.000000000000000000e+00,1.083045387637595169e+01,5.920518714500292212e+00,2.494650126093113229e+01,2.358162427013866247e-01
